code,name_he,name_en
497,טייבה (בעמק),TAYIBE(BAEMEQ)
3873,טל מנשה,TAL MENASHE
547,טמרה (יזרעאל),TAMRA (YIZRE'EL)
3743,טנא,TENE
1295,יאנוח-ג'ת,YANUH-JAT
1144,ידידה,YEDIDA
2009,יובל,YUVAL
3896,יונדב,YONADAV
3607,"ייט""ב",YITAV
3566,יפית,YAFIT
3749,יצהר,YIZHAR
3647,יקיר,YAQIR
241,יקנעם (מושבה),YOQNE'AM(MOSHAVA)
240,יקנעם עילית,YOQNE'AM ILLIT
3729,כדים,KADDIM
3564,כוכב השחר,KOKHAV HASHAHAR
3779,כוכב יעקב,KOKHAV YA'AQOV
1367,כחלה,KOCHLEA
3902,כנפי שחר,KANFE SHAHAR
63,כנרת (מושבה),KINNERET(MOSHAVA)
57,כנרת (קבוצה),KINNERET(QEVUZA)
1296,כסרא-סמיע,KISRA-SUMEI
3638,כפר אדומים,KEFAR ADUMMIM
112,כפר חסידים א',KEFAR HASIDIM ALEF
889,כפר חסידים ב',KEFAR HASIDIM BET
512,כפר מצר,KAFAR MISR
107,כפר סילבר,KEFAR SILVER
3488,כפר עציון,KEFAR EZYON
579,כפר ראש הנקרה,KEFAR ROSH HANIQRA
1130,כפר רוזנואלד (זרעית),KEFAR ROZENWALD(ZAR.
3572,כפר תפוח,KEFAR TAPPUAH
1094,כרם ביבנה (ישיבה),KEREM BEYAVNE
88,כרם בן שמן,KEREM BEN SHEMEN
3889,כרם רעים,KEREM RE'IM
3766,כרמי צור,KARME ZUR
3656,כרמל,KARMEL
1230,לבנים,LIVNIM
595,לוחמי הגיטאות,LOHAME HAGETA'OT
3901,"לח""י",LEHI
3892,לשם,LESHEM
102,מאיר שפיה,ME'IR SHEFEYA
3569,מבוא דותן,MEVO DOTAN
3709,מבוא חורון,MEVO HORON
1318,מבואות ים,MEVO'OT YAM
3825,מבואות יריחו,MEVO'OT YERIHO
3561,מגדל עוז,MIGDAL OZ
3751,מגדלים,MIGDALIM
3871,מגרון,MIGRON
897,מדרשת רופין,MIDRESHET RUPPIN
635,מוקייבלה,MUQEIBLE
3599,מחולה,MEHOLA
1411,מחנה הילה,MAHANE HILLA
1418,מחנה טלי,MAHANE TALI
1413,מחנה יהודית,MAHANE YEHUDIT
1416,מחנה יוכבד,MAHANE YOKHVED
1415,מחנה יפה,MAHANE YAFA
1196,מחנה יתיר,MAHANE YATTIR
1414,מחנה מרים,MAHANE MIRYAM
1412,מחנה תל נוף,MAHANE TEL NOF
1154,מיטל,METAL
3614,מכורה,MEKHORA
994,מנשית זבדה,MANSHIYYET ZABDA
939,מסעודין אל-עזאזמה,MAS'UDIN AL-'AZAZME
3879,מעוז,MA'OZ
3657,מעון,MA'ON
416,מעין ברוך,MA'YAN BARUKH
290,מעין צבי,MA'YAN ZEVI
3752,מעלה לבונה,MA'ALE LEVONA
3651,מעלה מכמש,MA'ALE MIKHMAS
1327,מעלה עירון,MA'ALE IRON
3653,מעלה עמוס,MA'ALE AMOS
230,מעש,MA'AS
3903,מצוקי ארץ,METSUKE ERETS
3899,מצפה זיף,MITSPE ZIF
3576,מצפה יריחו,MIZPE YERIHO
3610,מצפה שלם,MIZPE SHALEM
22,מקווה ישראל,MIQWE YISRA'EL
97,מרחביה (מושב),MERHAVYA(MOSHAV)
66,מרחביה (קיבוץ),MERHAVYA(QIBBUZ)
3605,משואה,MASSU'A
3785,משכיות,MASKIYYOT
3865,משמר יהודה,MISHMAR YEHUDA
3648,מתתיהו,MATTITYAHU
524,נאעורה,NA'URA
3724,נגוהות,NEGOHOT
3573,נוה צוף,NEVE TSUF
926,נווה אבות,NEWE AVOT
3877,נווה גדיד,NEVE GADID
686,נווה ימין,NEWE YAMIN
1259,נווה שלום,NEWE SHALOM
3876,נופי פרת,NOFE PRAT
3790,נופים,NOFIM
3887,נזר שומרון,NEZER SHOMRON
3767,נחליאל,NAHALI'EL
3655,"ניל""י",NILI
1195,ניצנה (קהילת חינוך),NIZZANA (QEHILAT HIN
256,ניר דוד (תל עמל),NIR DAWID (TEL AMAL)
186,נעורים,NE'URIM
3787,נעלה,NA'ALE
3713,"נעמ""ה",NAAMA
3620,נערן,NA'ARAN
1041,נצאצרה (שבט),NASASRA
3890,נריה,NERIYA
3555,נתיב הגדוד,NETIV HAGEDUD
942,סואעד (חמירה),SAWA'ID (HUMAYRA)
989,סואעד (כמאנה) (שבט),SAWA'ID (KAMANE)
3756,סוסיה,SUSEYA
1170,סייד (שבט),SAYYID
3777,סנסנה,
1360,סעוה,SA'WA
3874,עדי עד,ADE AD
528,עוזייר,UZEIR
3617,עופרה,OFRA
957,עוקבי (בנו עוקבה),UQBI (BANU UQBA)
969,עטאוונה (שבט),ATAWNE
3658,עטרת,ATERET
3880,עיבל,EVAL
530,עיילבון,EILABUN
511,עילוט,ILUT
89,עין חרוד (איחוד),EN HAROD (IHUD)
82,עין חרוד (מאוחד),EN HAROD(ME'UHAD)
1056,"עין כרם-בי""ס חקלאי",EN KAREM-B.S.HAQLA'I
3765,עלי,ELI
3715,עלמון,ALMON
3824,עמיחי,AMMIHAY
3660,עמנואל,IMMANU'EL
3712,ענב,ENAV
1246,עראמשה,ARAMSHA
1335,ערב אל נעים,ARRAB AL NAIM
3861,עשהאל,ASA'EL
3748,עתניאל,OTNI'EL
3768,פדואל,PEDU'EL
3723,פני חבר,PENE HEVER
3659,פסגות,PESAGOT
3615,פצאל,PEZA'EL
536,פקיעין (בוקייעה),PEQI'IN (BUQEI'A)
281,פקיעין חדשה,PEQI'IN HADASHA
3894,פרשים,PARASHIM
1180,צביה,ZVIYYA
1111,צופיה,ZOFIYYA
636,צנדלה,SANDALA
1234,קבועה (שבט),QABBO'A
3895,קדם ערבה,KEDEM ARAVA
3781,קדר,QEDAR
964,קודייראת א-צאנע(שבט),QUDEIRAT AS-SANI
972,קוואעין (שבט),QAWA'IN
4024,קלע,QELA
1347,קצר א-סר,
3611,קרית ארבע,QIRYAT ARBA
2039,קרית יערים(מוסד),QIRYAT YE'ARIM(INSTI
3746,קרית נטפים,QIRYAT NETAFIM
412,קרית שלמה,QIRYAT SHELOMO
3602,ראש צורים,ROSH ZURIM
3795,רבבה,REVAVA
1341,רוח מדבר,RUAH MIDBAR
997,רומת הייב,RUMAT HEIB
3619,רועי,RO'I
3782,רותם,ROTEM
3822,רחלים,REHELIM
540,ריחאניה,REIHANIYYE
3565,רימונים,RIMMONIM
4029,רמת הנשיא טראמפ,PRESIDENT TRUMP HEI
3711,שא-נור,SA-NUR
3872,שבות רחל,SHVUT RAHEL
3571,שבי שומרון,SHAVE SHOMERON
3578,שדמות מחולה,SHADMOT MEHOLA
3868,שחרית,SHAHARIT
1373,שלווה במדבר,SHALVA BAMIDBAR
3784,שמעה,SHIM'A
921,שער מנשה,SHA'AR MENASHE
3826,שער שומרון,SHA'AR SHOMRON
3649,שקד,SHAQED
3558,תומר,TOMER
1083,תושיה,TUSHIYYA
3815,תל ציון,TEL TSIYON
3719,תלם,TELEM
3878,תמרה,TMARA
970,תראבין א-צאנע (שבט),TARABIN AS-SANI
1346,תראבין א-צאנע(ישוב),TARABIN AS-SANI
